,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Tura,RU,1561748461,64.27,100.22,66.65,58,88,5.95
1,Novaci,RO,1561748756,45.17,23.66,52.59,87,46,5.26
2,Atuona,PF,1561748757,-9.8,-139.03,80.31,80,99,16.71
3,Mataura,NZ,1561748758,-46.19,168.86,43.0,83,89,3.0
4,Hay River,CA,1561748758,60.82,-115.79,62.6,51,40,12.75
5,Kavieng,PG,1561748759,-2.57,150.8,83.19,71,47,3.36
6,Flinders,AU,1561748759,-34.58,150.85,53.01,100,4,5.82
7,Fuxin,CN,1561748759,42.02,121.65,62.85,94,0,4.76
8,Khandyga,RU,1561748760,62.65,135.58,57.09,42,51,2.64
9,Bud,NO,1561748760,62.91,6.91,60.01,82,75,13.87
10,Kichera,RU,1561748761,55.93,110.1,55.65,67,17,8.48
11,Shingu,JP,1561748761,33.72,135.99,68.79,99,76,3.69
12,East London,ZA,1561748761,-33.02,27.91,54.39,60,39,2.19
13,Dikson,RU,1561748740,73.51,80.55,38.55,78,29,11.99
14,Zhigansk,RU,1561748590,66.77,123.37,60.89,58,74,4.76
15,Ust-Nera,RU,1561748762,64.57,143.24,48.63,56,52,3.53
16,Punta Arenas,CL,1561748652,-53.16,-70.91,39.0,78,40,23.04
17,Airai,TL,1561748645,-8.93,125.41,63.77,76,0,5.5
18,Bluff,AU,1561748763,-23.58,149.07,54.57,80,0,11.07
19,Lebanon,US,1561748706,40.34,-76.42,93.0,46,20,1.77
20,Gazli,UZ,1561748764,40.13,63.45,83.55,20,4,11.81
21,Cape Town,ZA,1561748643,-33.93,18.42,55.99,93,20,8.05
22,Rikitea,PF,1561748765,-23.12,-134.97,75.45,82,17,21.7
23,Burnie,AU,1561748765,-41.05,145.91,55.99,96,96,1.01
24,Roquetas de Mar,ES,1561748765,36.76,-2.61,93.2,26,0,24.16
25,Novikovo,RU,1561748766,51.15,37.89,53.13,85,49,12.53
26,Vieques,PR,1561748766,18.43,-65.83,89.01,66,40,21.92
27,Kapaa,US,1561748766,22.08,-159.32,78.8,88,90,3.04
28,Nikolskoye,RU,1561748767,59.7,30.79,62.01,41,0,11.18
29,Bredasdorp,ZA,1561748767,-34.53,20.04,57.0,62,82,8.05
30,Khatanga,RU,1561748767,71.98,102.47,52.95,74,60,13.15
31,Arraial do Cabo,BR,1561748768,-22.97,-42.02,80.6,74,20,13.87
32,Corum,TR,1561748768,38.8,29.89,70.0,57,0,13.0
33,Dongsheng,CN,1561748768,29.72,112.52,70.05,90,100,9.51
34,Codrington,AU,1561748768,-28.95,153.24,55.4,100,75,3.36
35,Qasigiannguit,GL,1561748768,68.82,-51.19,46.4,61,40,11.41
36,Ushuaia,AR,1561748768,-54.81,-68.31,32.0,81,40,4.36
37,Tuatapere,NZ,1561748769,-46.13,167.69,43.0,83,99,3.0
38,Ibra,OM,1561748769,22.69,58.55,87.33,45,7,6.76
39,Victoria,BN,1561748769,5.28,115.24,80.6,88,75,4.74
40,Jinchang,CN,1561748769,38.52,102.19,63.21,34,86,5.26
41,Busselton,AU,1561748769,-33.64,115.35,48.99,63,72,13.6
42,Souillac,FR,1561748770,45.6,-0.6,82.4,65,0,6.93
43,Sol-Iletsk,RU,1561748770,51.16,55.0,63.39,93,100,12.17
44,Mayo,CA,1561748519,63.59,-135.9,69.8,43,75,6.93
45,Saskylakh,RU,1561748770,71.97,114.09,52.05,68,83,10.67
46,Ribeira Grande,PT,1561748770,38.52,-28.7,68.0,60,40,12.75
